log_file,data_path,model_id,seq_len,pred_len,d_model,d_ff,e_layers,batch_size,learning_rate,m_dim,tau,k,stopped_epoch,mse,mae
traffic_sl336_pl192_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl192_AGGRESSIVE,336,192,512,2048,4,128,0.0002,5,1,4,30,0.4039134681224823,0.267129123210907
traffic_sl336_pl336_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl336_AGGRESSIVE,336,336,512,2048,4,128,0.0002,5,1,4,30,0.4255537688732147,0.27626821398735046
traffic_sl336_pl96_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl96_AGGRESSIVE,336,96,512,2048,4,128,0.0002,5,1,4,30,0.37271901965141296,0.2538127601146698
traffic_sl336_pl720_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl720_AGGRESSIVE,336,720,512,2048,4,128,0.0002,5,1,4,30,0.4670654535293579,0.2954370379447937
traffic_sl336_pl192_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl192_AGGRESSIVE,336,192,512,2048,4,128,0.0002,5,1,4,30,0.4039134681224823,0.267129123210907
traffic_sl336_pl96_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl96_AGGRESSIVE,336,96,512,2048,4,128,0.0002,5,1,4,30,0.37271901965141296,0.2538127601146698
traffic_sl336_pl720_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl720_AGGRESSIVE,336,720,512,2048,4,128,0.0002,5,1,4,30,0.4670654535293579,0.2954370379447937
326_063447need_traffic_sl336_pl96_heavy.log,traffic.csv,traffic_sl336_pl96_heavy,336,96,512,512,2,2,5e-05,3,1,3,17,Crash/Unfinished,Crash/Unfinished
traffic_sl336_pl96_heavy-checkpoint.log,traffic.csv,traffic_sl336_pl96_heavy,336,96,512,512,2,2,5e-05,3,1,3,4,Crash/Unfinished,Crash/Unfinished
ECL_sl336_pl720.log,ECL.csv,ECL_sl336_pl720,336,720,512,512,2,4,5e-05,3,1,3,5,0.2047177106142044,0.30024081468582153
ECL_sl336_pl336.log,ECL.csv,ECL_sl336_pl336,336,336,512,512,2,4,5e-05,3,1,3,9,0.16564635932445526,0.2650449573993683
ECL_sl336_pl96.log,ECL.csv,ECL_sl336_pl96,336,96,512,512,2,4,5e-05,3,1,3,16,0.1331089735031128,0.23259106278419495
ECL_sl336_pl192.log,ECL.csv,ECL_sl336_pl192,336,192,512,512,2,4,5e-05,3,1,3,6,0.15184517204761505,0.25045323371887207
